Processor;Model;Cores 1;Cores 2;Threads;Integrated graphics;CodeName
i7-8550U;4;0;8;UHD 620;Kaby Lake R;
i7-8500Y;2;0;4;UHD 615;Amber Lake Y;
i5-8500B;6;0;6;UHD 630;Coffee Lake;
i5-8400H;4;0;8;UHD 630;Coffee Lake;
i5-8400B;6;0;6;UHD 630;Coffee Lake;
i5-8365U;4;0;8;UHD;Whiskey Lake;
i5-8350U;4;0;8;UHD 620;Kaby Lake R;
i5-8310Y;2;0;4;UHD 617;Amber Lake Y;
i5-8300H;4;0;8;UHD 630;Coffee Lake;
i5-8279U;4;0;8;Iris Plus 655;Coffee Lake;
i5-8269U;4;0;8;Iris Plus 655;Coffee Lake;
i5-8265U;4;0;8;UHD;Whiskey Lake;
i5-8260U;4;0;8;UHD 620;Coffee Lake;
i5-8259U;4;0;8;Iris Plus 655;Coffee Lake;
i5-8257U;4;0;8;Iris Plus 645;Coffee Lake;
i5-8250U;4;0;8;UHD 620;Kaby Lake R;
i5-8210Y;2;0;4;UHD 617;Amber Lake Y;
i5-8200Y;2;0;4;UHD 615;Amber Lake Y;
i3-8145U;2;0;4;UHD;Whiskey Lake;
i3-8140U;2;0;4;UHD 620;Coffee Lake;
i3-8130U;2;0;4;UHD 620;Kaby Lake R;
i3-8109U;2;0;4;Iris Plus 655;Coffee Lake;
i3-8100H;4;0;4;UHD 630;Coffee Lake;
i3-8100B;4;0;4;UHD 630;Coffee Lake;
;;;;;;
i9-7980XE;18;0;36;—;Skylake;
i9-7960X;16;0;32;—;Skylake;
i9-7940X;14;0;28;—;Skylake;
i9-7920X;12;0;24;—;Skylake;
i9-7900X;10;0;20;—;Skylake;
i7-7820X;8;0;16;—;Skylake;
i7-7800X;6;0;12;—;Skylake;
i7-7740X;4;0;8;—;Kaby Lake;
i7-7700K;4;0;8;HD 630;Kaby Lake;
i7-7700;4;0;8;HD 630;Kaby Lake;
i7-7700T;4;0;8;HD 630;Kaby Lake;
i5-7640X;4;0;4;—;Kaby Lake;
i5-7600K;4;0;4;HD 630;Kaby Lake;
i5-7600;4;0;4;HD 630;Kaby Lake;
i5-7600T;4;0;4;HD 630;Kaby Lake;
i5-7500;4;0;4;HD 630;Kaby Lake;
i5-7500T;4;0;4;HD 630;Kaby Lake;
i5-7400;4;0;4;HD 630;Kaby Lake;
i5-7400T;4;0;4;HD 630;Kaby Lake;
i3-7350K;2;0;4;HD 630;Kaby Lake;
i3-7320;2;0;4;HD 630;Kaby Lake;
i3-7300;2;0;4;HD 630;Kaby Lake;
i3-7300T;2;0;4;HD 630;Kaby Lake;
i3-7100;2;0;4;HD 630;Kaby Lake;
i3-7100T;2;0;4;HD 630;Kaby Lake;
i3-7101E;2;0;4;HD 630;Kaby Lake;
i3-7101TE;2;0;4;HD 630;Kaby Lake;
G4620;2;0;4;HD 630;Kaby Lake;
G4600;2;0;4;HD 630;Kaby Lake;
G4600T;2;0;4;HD 630;Kaby Lake;
G4560;2;0;4;HD 610;Kaby Lake;
G4560T;2;0;4;HD 610;Kaby Lake;
G3950;2;0;2;HD 610;Kaby Lake;
G3930;2;0;2;HD 610;Kaby Lake;
G3930T;2;0;2;HD 610;Kaby Lake;
;;;;;;
i7-7920HQ;4;0;8;HD 630;Kaby Lake;
i7-7820HQ;4;0;8;HD 630;Kaby Lake;
i7-7820HK;4;0;8;HD 630;Kaby Lake;
i7-7700HQ;4;0;8;HD 630;Kaby Lake;
i7-7660U;2;0;4;Iris Plus 640;Kaby Lake;
i7-7600U;2;0;4;HD 620;Kaby Lake;
i7-7567U;2;0;4;Iris Plus 650;Kaby Lake;
i7-7560U;2;0;4;Iris Plus 640;Kaby Lake;
i7-7500U;2;0;4;HD 620;Kaby Lake;
i7-7Y75;2;0;4;HD 615;Kaby Lake;
